"season","date","team.x","game_number.x","home.x","result","back_to_back.x","eFG%.x","FT%.x","ORB%.x","DRB%.x","TOV%.x","opp_eFG%.x","opp_TOV%.x","NET_rating.x","win%.x","elo.x","team.y","game_number.y","back_to_back.y","eFG%.y","FT%.y","ORB%.y","DRB%.y","TOV%.y","opp_eFG%.y","opp_TOV%.y","NET_rating.y","win%.y","elo.y"
2016,2015-10-27,"ATL",1,1,0,0,0.526944320047768,77.7521613832853,21.369,73.363,13.524,0.491709464416728,14.867,5.76260063679253,0.731707317073171,1500,"DET",1,0,0.48202614379085,70.2937976060936,27.724,74.993,12.285,0.502200381399443,13.156,-1.06936904549757,0.390243902439024,1500
2016,2015-10-27,"CHI",1,1,1,0,0.488965720170663,78.2776971456217,26.961,74.354,12.936,0.473202982135321,11.278,3.20094922711554,0.609756097560976,1500,"CLE",1,0,0.519661670871049,75.129265770424,26.81,74.693,13.366,0.501897810218978,12.612,4.82248564629066,0.646341463414634,1500
2016,2015-10-27,"NOP",1,0,0,0,0.500515084621045,75.1396648044693,27.077,75.079,12.538,0.495523921338421,11.68,0.863273041739944,0.548780487804878,1500,"GSW",1,0,0.539652515062351,76.8285547103569,24.076,74.504,13.059,0.469649915302089,14.294,10.2493108779806,0.817073170731707,1500
2016,2015-10-28,"BOS",1,1,1,0,0.488559145749549,75.4469606674613,24.715,75.042,12.475,0.493806711796054,13.733,0.163741952983386,0.48780487804878,1500,"PHI",1,0,0.459052678176184,67.5883256528418,25.529,72.957,15.986,0.497273397199705,15.184,-9.31568395627086,0.219512195121951,1500
2016,2015-10-28,"BRK",1,1,0,0,0.490814226925338,74.7936158503027,23.865,73.709,12.969,0.506003182409952,12.892,-3.06479724509374,0.463414634146341,1500,"CHI",2,1,0.46551724137931,69.5652173913043,15.217,78.431,11.805,0.452127659574468,9.78,2.00065247195494,1,1516
2016,2015-10-28,"CHO",1,0,0,0,0.456145412579342,74.8259239421532,22.102,79.324,11.181,0.487323327990675,11.967,-3.37239127724764,0.402439024390244,1500,"MIA",1,0,0.499684044233807,74.1237113402062,23.242,73.353,14.457,0.5048290663805,14.167,-2.84999827335629,0.451219512195122,1500
2016,2015-10-28,"MEM",1,1,0,0,0.489205973680319,77.3140716960942,24.654,75.3,12.605,0.49154697785757,14.503,3.48781385644834,0.670731707317073,1500,"CLE",2,1,0.452127659574468,58.8235294117647,21.569,84.783,9.78,0.46551724137931,11.805,-2.00065247195494,0,1484
2016,2015-10-28,"DAL",1,0,1,0,0.514638999431495,75.2034725990233,23.597,72.164,11.921,0.503246753246753,14.721,3.0192629435986,0.609756097560976,1500,"PHO",1,0,0.501136686558681,76.0045274476514,24.468,73.539,13.674,0.49705966724039,13.959,-0.92790920843251,0.475609756097561,1500
2016,2015-10-28,"HOU",1,1,0,0,0.512075526932084,71.4955461790905,26.767,72.95,14.951,0.486109122153802,14.627,3.5395034294142,0.682926829268293,1500,"DEN",1,0,0.479044425817267,73.4304369663486,26.562,74.69,12.674,0.503618468664061,12.995,-3.65536681920926,0.365853658536585,1500
2016,2015-10-28,"DET",2,1,1,1,0.447916666666667,76.9230769230769,41.071,83.721,12.251,0.5,14.479,12.5896200595484,1,1516,"UTA",1,0,0.493684534812076,72.1099015033696,29.11,76.342,14.61,0.491422498861394,12.753,0.242533776480187,0.463414634146341,1500
